ZIP Code,ZIP3 Region,Town,Metro,Primary County,Total Population,Median Household Income
95524,955,Arcata,Eureka-Arcata,Humboldt,78672,51653
92243,922,Oceanside,San Diego-Chula Vista-Carlsbad,San Diego,50519,157696
93526,935,Ridgecrest,Bakersfield,Kern,73012,38009
93527,935,Mojave,Bakersfield,Kern,70881,104946
93305,933,Bakersfield,Bakersfield,Kern,15121,111939
93308,933,Bakersfield,Bakersfield,Kern,21230,153940
93311,933,Bakersfield,Bakersfield,Kern,35022,166225
93220,932,Bakersfield,Bakersfield,Kern,67042,62894
93518,935,Ridgecrest,Bakersfield,Kern,84248,168080
93251,932,Bakersfield,Bakersfield,Kern,20532,133019
93226,932,Bakersfield,Bakersfield,Kern,71197,174029
93245,932,Bakersfield,Bakersfield,Kern,79004,119975
93266,932,Bakersfield,Bakersfield,Kern,3052,64325
93202,932,Bakersfield,Bakersfield,Kern,40806,97770
95485,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,32071,55645
96130,961,Reno Area,Non-Metro,Washoe,64199,53143
96109,961,Reno Area,Non-Metro,Washoe,17328,159592
96123,961,Reno Area,Non-Metro,Washoe,35241,173326
91504,915,Sun Valley,Los Angeles-Long Beach-Anaheim,Los Angeles,28260,176373
91606,916,North Hollywood,Los Angeles-Long Beach-Anaheim,Los Angeles,41357,139593
90640,906,Pico Rivera,Los Angeles-Long Beach-Anaheim,Los Angeles,57922,170679
91770,917,Monterey Park,Los Angeles-Long Beach-Anaheim,Los Angeles,16360,99986
93535,935,Mojave,Bakersfield,Kern,8892,123627
90290,902,Inglewood,Los Angeles-Long Beach-Anaheim,Los Angeles,77610,95323
91792,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,1442,53610
91789,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,30507,52668
91791,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,43809,53574
91723,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,37000,162248
91773,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,71178,69684
91702,917,Monterey Park,Los Angeles-Long Beach-Anaheim,Los Angeles,32350,158987
91741,917,Monterey Park,Los Angeles-Long Beach-Anaheim,Los Angeles,25457,59726
91765,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,56998,127876
90303,903,Inglewood,Los Angeles-Long Beach-Anaheim,Los Angeles,54383,157427
90033,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,13399,50889
90032,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,44973,63644
90249,902,Inglewood,Los Angeles-Long Beach-Anaheim,Los Angeles,25612,84862
90822,908,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,18873,145593
91355,913,Van Nuys,Los Angeles-Long Beach-Anaheim,Los Angeles,37009,156275
91350,913,Van Nuys,Los Angeles-Long Beach-Anaheim,Los Angeles,10380,151164
91387,913,Van Nuys,Los Angeles-Long Beach-Anaheim,Los Angeles,7130,176711
91001,910,Pasadena,Los Angeles-Long Beach-Anaheim,Los Angeles,12724,96965
91604,916,North Hollywood,Los Angeles-Long Beach-Anaheim,Los Angeles,53769,162307
91402,914,Northridge,Los Angeles-Long Beach-Anaheim,Los Angeles,28516,140130
91030,910,Pasadena,Los Angeles-Long Beach-Anaheim,Los Angeles,22079,134345
91108,911,Pasadena,Los Angeles-Long Beach-Anaheim,Los Angeles,51673,104521
90062,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,37888,145888
90293,902,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles,20789,84780
90292,902,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles,29034,50331
90003,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,41604,49985
90056,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,77069,159987
90732,907,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,7955,168124
90716,907,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,24856,52962
90805,908,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,31328,140847
90402,904,Santa Monica,Los Angeles-Long Beach-Anaheim,Los Angeles,75168,99543
90010,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,81683,56491
90073,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,77003,172044
91040,910,Glendale,Los Angeles-Long Beach-Anaheim,Los Angeles,34679,88545
90403,904,Venice,Los Angeles-Long Beach-Anaheim,Los Angeles,31785,104629
93550,935,Ridgecrest,Bakersfield,Kern,17654,113642
92397,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,41941,54016
91732,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,60568,61209
91731,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,70968,90877
94949,949,Novato,San Francisco-Oakland-Berkeley,Marin,17861,126490
94939,949,San Rafael,San Francisco-Oakland-Berkeley,Marin,32518,131869
95306,953,Tracy,Stockton,San Joaquin,21176,149867
95428,954,Petaluma,Santa Rosa-Petaluma,Sonoma,80673,173658
95429,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,73192,113480
95425,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,18101,104328
95449,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,14529,75749
95456,954,Petaluma,Santa Rosa-Petaluma,Sonoma,37430,90215
95432,954,Petaluma,Santa Rosa-Petaluma,Sonoma,27185,104201
95301,953,Tracy,Stockton,San Joaquin,33414,48316
96134,961,Reno Area,Non-Metro,Washoe,83636,146037
96054,960,Chico,Redding,Shasta,6278,35929
93517,935,Ridgecrest,Bakersfield,Kern,17646,103670
89010,890,Unknown,Non-Metro,Unknown,58412,179619
93907,939,Monterey,Salinas,Monterey,74019,37534
93953,939,Salinas,Salinas,Monterey,10362,74073
94567,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,48893,179841
94599,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,56833,68409
94576,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,40904,130591
96161,961,Reno Area,Non-Metro,Washoe,47398,90070
95977,959,Marysville,Yuba City,Yuba,13973,127714
92840,928,Palm Springs,Riverside-San Bernardino-Ontario,San Bernardino,81851,75515
92841,928,Victorville,Riverside-San Bernardino-Ontario,San Bernardino,21799,81413
92647,926,Santa Ana,Los Angeles-Long Beach-Anaheim,Orange,3748,82018
92673,926,Santa Ana,Los Angeles-Long Beach-Anaheim,Orange,54464,100055
92865,928,Palm Springs,Riverside-San Bernardino-Ontario,San Bernardino,21366,63336
92866,928,Palm Springs,Riverside-San Bernardino-Ontario,San Bernardino,5575,158388
92624,926,Irvine,Los Angeles-Long Beach-Anaheim,Orange,26658,155665
90743,907,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,40501,94662
95714,957,Sacramento,Sacramento-Roseville-Folsom,Sacramento,3601,85627
95717,957,Elk Grove,Sacramento-Roseville-Folsom,Sacramento,43525,108034
96140,961,Reno Area,Non-Metro,Washoe,37085,127050
95915,959,Yuba City,Yuba City,Yuba,70782,121808
95984,959,Marysville,Yuba City,Yuba,15618,103475
96020,960,Redding,Redding,Shasta,76599,104590
95947,959,Marysville,Yuba City,Yuba,14708,148918
96118,961,Reno Area,Non-Metro,Washoe,41614,149398
92234,922,Escondido,San Diego-Chula Vista-Carlsbad,San Diego,50988,84828
92240,922,Oceanside,San Diego-Chula Vista-Carlsbad,San Diego,6317,149309
92544,925,Riverside,Riverside-San Bernardino-Ontario,Riverside,68646,176151
92543,925,Riverside,Riverside-San Bernardino-Ontario,Riverside,48239,148062
92264,922,Escondido,San Diego-Chula Vista-Carlsbad,San Diego,43779,117291
92282,922,Escondido,San Diego-Chula Vista-Carlsbad,San Diego,39863,167939
92239,922,Oceanside,San Diego-Chula Vista-Carlsbad,San Diego,54028,120506
92201,922,Oceanside,San Diego-Chula Vista-Carlsbad,San Diego,39252,68367
92373,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,55608,134390
92210,922,Escondido,San Diego-Chula Vista-Carlsbad,San Diego,81176,113892
92324,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,72319,35106
92399,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,38106,90098
95843,958,Davis,Sacramento-Roseville-Folsom,Sacramento,76519,119475
95814,958,Davis,Sacramento-Roseville-Folsom,Sacramento,58405,150909
95864,958,Sacramento,Sacramento-Roseville-Folsom,Sacramento,67500,159042
95655,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,11614,109392
95824,958,Davis,Sacramento-Roseville-Folsom,Sacramento,12740,96569
95075,950,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara,29944,87200
92394,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,3701,47114
92338,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,62777,54091
92410,924,Fontana,Riverside-San Bernardino-Ontario,San Bernardino,54821,85970
92337,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,65299,139766
92313,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,19842,36453
92325,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,56224,92367
92014,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,68389,156778
92020,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,73560,100325
92111,921,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,60329,69954
92108,921,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,70116,118177
92037,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,80801,167324
92104,921,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,72310,151893
92154,921,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,62716,152983
92067,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,32906,107695
92075,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,82649,97716
92103,921,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,58154,55311
91935,919,Pomona,Los Angeles-Long Beach-Anaheim,Los Angeles,31235,106228
91978,919,Pomona,Los Angeles-Long Beach-Anaheim,Los Angeles,42404,176597
91906,919,San Dimas,Los Angeles-Long Beach-Anaheim,Los Angeles,18636,74539
91948,919,San Dimas,Los Angeles-Long Beach-Anaheim,Los Angeles,50705,75056
92069,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,8918,143755
92010,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,43869,177242
92058,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,54996,51322
94131,941,San Francisco,San Francisco-Oakland-Berkeley,San Francisco,55569,137099
94124,941,San Francisco,San Francisco-Oakland-Berkeley,San Francisco,75956,134714
94134,941,San Francisco,San Francisco-Oakland-Berkeley,San Francisco,1272,127211
94108,941,San Francisco,San Francisco-Oakland-Berkeley,San Francisco,51616,144843
94130,941,San Francisco,San Francisco-Oakland-Berkeley,San Francisco,64493,92520
95686,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,57625,162308
95242,952,Stockton,Stockton,San Joaquin,51468,123114
95211,952,Stockton,Stockton,San Joaquin,22132,157523
95240,952,Stockton,Stockton,San Joaquin,82060,175017
95320,953,Stockton,Stockton,San Joaquin,52145,42104
93405,934,San Luis Obispo,San Luis Obispo-Paso Robles,San Luis Obispo,84746,147358
93433,934,San Luis Obispo,San Luis Obispo-Paso Robles,San Luis Obispo,61015,82639
93430,934,San Luis Obispo,San Luis Obispo-Paso Robles,San Luis Obispo,34599,134379
94070,940,San Francisco,San Francisco-Oakland-Berkeley,San Francisco,28242,154196
94065,940,San Francisco,San Francisco-Oakland-Berkeley,San Francisco,44736,134385
94019,940,San Francisco,San Francisco-Oakland-Berkeley,San Francisco,55755,101131
93105,931,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara,62144,40081
93109,931,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara,46370,93778
95138,951,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara,5776,43134
95033,950,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara,26630,40342
95120,951,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara,31766,68088
95136,951,Morgan Hill,San Jose-Sunnyvale-Santa Clara,Santa Clara,15493,92138
95123,951,Morgan Hill,San Jose-Sunnyvale-Santa Clara,Santa Clara,34086,131703
94304,943,Palo Alto,San Jose-Sunnyvale-Santa Clara,Santa Clara,79915,65024
95073,950,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara,41268,63337
95017,950,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara,41388,133384
96011,960,Chico,Redding,Shasta,26495,54922
96019,960,Redding,Redding,Shasta,13856,114058
96051,960,Redding,Redding,Shasta,74677,45766
96069,960,Chico,Redding,Shasta,70327,147296
96033,960,Chico,Redding,Shasta,9538,167634
96025,960,Chico,Redding,Shasta,2158,145115
96075,960,Chico,Redding,Shasta,14333,148645
95936,959,Yuba City,Yuba City,Yuba,83807,155517
96049,960,Redding,Redding,Shasta,57580,81173
95687,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,81228,176078
94590,945,Berkeley,San Francisco-Oakland-Berkeley,Alameda,61431,149183
95441,954,Petaluma,Santa Rosa-Petaluma,Sonoma,42745,99355
95448,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,37059,153175
95465,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,61410,134349
95405,954,Petaluma,Santa Rosa-Petaluma,Sonoma,4261,164579
95407,954,Petaluma,Santa Rosa-Petaluma,Sonoma,24334,162808
95476,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,47007,102725
94951,949,Novato,San Francisco-Oakland-Berkeley,Marin,37155,107422
95497,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,68215,85084
95350,953,Stockton,Stockton,San Joaquin,32135,141542
95367,953,Tracy,Stockton,San Joaquin,73268,97999
95313,953,Tracy,Stockton,San Joaquin,64832,152486
95319,953,Stockton,Stockton,San Joaquin,12696,112132
95957,959,Marysville,Yuba City,Yuba,53505,98780
96055,960,Chico,Redding,Shasta,76725,131736
96074,960,Chico,Redding,Shasta,73044,174177
95552,955,Arcata,Eureka-Arcata,Humboldt,56271,179281
95527,955,Arcata,Eureka-Arcata,Humboldt,46612,153946
96052,960,Chico,Redding,Shasta,40689,100903
96010,960,Redding,Redding,Shasta,16314,85484
95379,953,Tracy,Stockton,San Joaquin,16170,175473
95383,953,Stockton,Stockton,San Joaquin,25605,91723
93012,930,Ventura,Oxnard-Thousand Oaks-Ventura,Ventura,36741,172530
93066,930,Ventura,Oxnard-Thousand Oaks-Ventura,Ventura,13676,85886
93036,930,Ventura,Oxnard-Thousand Oaks-Ventura,Ventura,30316,129602
93004,930,Oxnard,Oxnard-Thousand Oaks-Ventura,Ventura,40118,38708
93022,930,Oxnard,Oxnard-Thousand Oaks-Ventura,Ventura,36454,46931
95616,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,73029,111581
95691,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,84106,163680
95637,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,2107,109537
95698,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,63246,150466
95935,959,Yuba City,Yuba City,Yuba,24664,48468
94705,947,Concord,San Francisco-Oakland-Berkeley,Contra Costa,63116,64907
94602,946,Oakland,San Francisco-Oakland-Berkeley,Alameda,53021,163908
95646,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,76131,49053
95689,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,20055,114648
95969,959,Marysville,Yuba City,Yuba,33030,66051
95916,959,Yuba City,Yuba City,Yuba,79971,94162
95978,959,Yuba City,Yuba City,Yuba,59549,151056
95948,959,Yuba City,Yuba City,Yuba,77639,147415
95228,952,Stockton,Stockton,San Joaquin,75031,50789
95248,952,Stockton,Stockton,San Joaquin,27735,90318
95233,952,Stockton,Stockton,San Joaquin,11141,76171
95252,952,Stockton,Stockton,San Joaquin,23282,179701
95245,952,Stockton,Stockton,San Joaquin,21017,35701
95232,952,Stockton,Stockton,San Joaquin,59548,158184
95932,959,Yuba City,Yuba City,Yuba,4778,95680
95645,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,37556,154021
94596,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,31095,104351
94583,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,56223,65087
94804,948,Walnut Creek,San Francisco-Oakland-Berkeley,Contra Costa,20028,104633
94569,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,9859,50633
95635,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,40819,110657
96142,961,Reno Area,Non-Metro,Washoe,16799,157866
93660,936,Fresno,Fresno,Fresno,53257,106367
93611,936,Fresno,Fresno,Fresno,57877,56087
93706,937,Fresno,Fresno,Fresno,57126,119494
93618,936,Fresno,Fresno,Fresno,3890,58940
93622,936,Fresno,Fresno,Fresno,75892,40438
93728,937,Madera,Fresno,Fresno,76029,45546
93701,937,Fresno,Fresno,Fresno,62169,171043
93620,936,Fresno,Fresno,Fresno,36958,82576
93656,936,Fresno,Fresno,Fresno,83702,163902
93242,932,Bakersfield,Bakersfield,Kern,62105,126215
95943,959,Yuba City,Yuba City,Yuba,44187,119163
95546,955,Eureka,Eureka-Arcata,Humboldt,21579,121456
95547,955,Arcata,Eureka-Arcata,Humboldt,65442,110554
95525,955,Arcata,Eureka-Arcata,Humboldt,72602,44619
95570,955,Arcata,Eureka-Arcata,Humboldt,12042,117448
92266,922,Oceanside,San Diego-Chula Vista-Carlsbad,San Diego,42872,65388
93513,935,Ridgecrest,Bakersfield,Kern,67949,35301
92328,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,54665,49209
93307,933,Bakersfield,Bakersfield,Kern,68452,129838
93528,935,Ridgecrest,Bakersfield,Kern,82473,150878
93516,935,Mojave,Bakersfield,Kern,27180,105007
93561,935,Mojave,Bakersfield,Kern,38252,149849
93224,932,Bakersfield,Bakersfield,Kern,16415,42567
93461,934,San Luis Obispo,San Luis Obispo-Paso Robles,San Luis Obispo,21258,116461
93276,932,Bakersfield,Bakersfield,Kern,72884,141952
93201,932,Bakersfield,Bakersfield,Kern,29951,64743
95467,954,Petaluma,Santa Rosa-Petaluma,Sonoma,15896,75362
95461,954,Petaluma,Santa Rosa-Petaluma,Sonoma,38754,168397
95453,954,Petaluma,Santa Rosa-Petaluma,Sonoma,54959,161484
96119,961,Reno Area,Non-Metro,Washoe,32446,154743
96113,961,Reno Area,Non-Metro,Washoe,50777,84967
96056,960,Redding,Redding,Shasta,9650,107416
91306,913,Sherman Oaks,Los Angeles-Long Beach-Anaheim,Los Angeles,45048,168100
91755,917,Monterey Park,Los Angeles-Long Beach-Anaheim,Los Angeles,836,109144
90701,907,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,77431,163356
90241,902,Inglewood,Los Angeles-Long Beach-Anaheim,Los Angeles,59029,176185
90250,902,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles,45736,122147
90210,902,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles,60182,119352
90004,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,31800,135393
90013,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,54341,46441
90069,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,62493,134937
91384,913,Sherman Oaks,Los Angeles-Long Beach-Anaheim,Los Angeles,20436,164847
90704,907,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,17047,166672
90059,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,13654,150423
91601,916,North Hollywood,Los Angeles-Long Beach-Anaheim,Los Angeles,69437,154780
91352,913,Van Nuys,Los Angeles-Long Beach-Anaheim,Los Angeles,19394,142473
91311,913,Van Nuys,Los Angeles-Long Beach-Anaheim,Los Angeles,10307,158074
90068,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,44875,139197
90744,907,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,43565,174885
90023,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,42005,162912
90016,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,81431,52936
90713,907,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles,83227,110334
90058,900,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles,12346,148763
91006,910,Pasadena,Los Angeles-Long Beach-Anaheim,Los Angeles,83566,61347
90638,906,Pico Rivera,Los Angeles-Long Beach-Anaheim,Los Angeles,22305,113503
90606,906,Whittier,Los Angeles-Long Beach-Anaheim,Los Angeles,6528,120032
91016,910,Pasadena,Los Angeles-Long Beach-Anaheim,Los Angeles,38952,128969
91008,910,Glendale,Los Angeles-Long Beach-Anaheim,Los Angeles,56950,73160
91759,917,Alhambra,Los Angeles-Long Beach-Anaheim,Los Angeles,70121,143016
90602,906,Whittier,Los Angeles-Long Beach-Anaheim,Los Angeles,22780,80893
91371,913,Van Nuys,Los Angeles-Long Beach-Anaheim,Los Angeles,80387,135281
93644,936,Fresno,Fresno,Fresno,65730,72517
93614,936,Fresno,Fresno,Fresno,60943,101578
94970,949,Novato,San Francisco-Oakland-Berkeley,Marin,33966,37463
94933,949,Novato,San Francisco-Oakland-Berkeley,Marin,38200,178287
95470,954,Santa Rosa,Santa Rosa-Petaluma,Sonoma,10181,150796
95427,954,Petaluma,Santa Rosa-Petaluma,Sonoma,77514,113421
95460,954,Petaluma,Santa Rosa-Petaluma,Sonoma,33280,154756
95417,954,Petaluma,Santa Rosa-Petaluma,Sonoma,26611,135845
95463,954,Petaluma,Santa Rosa-Petaluma,Sonoma,14479,97182
96108,961,Reno Area,Non-Metro,Washoe,75463,129098
93512,935,Ridgecrest,Bakersfield,Kern,39196,40751
93923,939,Monterey,Salinas,Monterey,36476,37122
93901,939,Salinas,Salinas,Monterey,79982,165214
93943,939,Monterey,Salinas,Monterey,30662,127358
94503,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,83942,84841
94574,945,Berkeley,San Francisco-Oakland-Berkeley,Alameda,18427,60470
94508,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,40992,150559
92844,928,Victorville,Riverside-San Bernardino-Ontario,San Bernardino,76465,130646
92843,928,Victorville,Riverside-San Bernardino-Ontario,San Bernardino,12313,112361
92602,926,Santa Ana,Los Angeles-Long Beach-Anaheim,Orange,54960,81042
92649,926,Irvine,Los Angeles-Long Beach-Anaheim,Orange,17822,176402
92637,926,Santa Ana,Los Angeles-Long Beach-Anaheim,Orange,70079,166542
92629,926,Santa Ana,Los Angeles-Long Beach-Anaheim,Orange,22067,102363
92692,926,Santa Ana,Los Angeles-Long Beach-Anaheim,Orange,39184,123792
92614,926,Irvine,Los Angeles-Long Beach-Anaheim,Orange,61885,54739
92870,928,Victorville,Riverside-San Bernardino-Ontario,San Bernardino,30071,139179
92610,926,Santa Ana,Los Angeles-Long Beach-Anaheim,Orange,12336,138435
92530,925,Riverside,Riverside-San Bernardino-Ontario,Riverside,35163,175659
95648,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,60109,131622
95765,957,Elk Grove,Sacramento-Roseville-Folsom,Sacramento,77119,134883
95677,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,14701,96295
95678,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,3780,120984
95736,957,Sacramento,Sacramento-Roseville-Folsom,Sacramento,8785,156704
96122,961,Reno Area,Non-Metro,Washoe,54016,65585
96135,961,Reno Area,Non-Metro,Washoe,6443,44754
95923,959,Yuba City,Yuba City,Yuba,65069,65440
95956,959,Marysville,Yuba City,Yuba,31275,175914
92509,925,Riverside,Riverside-San Bernardino-Ontario,Riverside,51440,153919
92879,928,Palm Springs,Riverside-San Bernardino-Ontario,San Bernardino,71304,144871
92881,928,Victorville,Riverside-San Bernardino-Ontario,San Bernardino,54879,60957
92595,925,Riverside,Riverside-San Bernardino-Ontario,Riverside,81194,141985
92591,925,Riverside,Riverside-San Bernardino-Ontario,Riverside,4788,132132
92223,922,Escondido,San Diego-Chula Vista-Carlsbad,San Diego,58615,151574
92587,925,Riverside,Riverside-San Bernardino-Ontario,Riverside,48037,61045
92028,920,San Diego,San Diego-Chula Vista-Carlsbad,San Diego,71864,129024
95818,958,Sacramento,Sacramento-Roseville-Folsom,Sacramento,52684,107320
95673,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,16511,154201
95632,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,28301,40598
95680,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,44213,98850
95842,958,Sacramento,Sacramento-Roseville-Folsom,Sacramento,74500,88793
95841,958,Sacramento,Sacramento-Roseville-Folsom,Sacramento,73141,89305
95639,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,31039,121129
92345,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,78616,35743
92341,923,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino,19464,69076
